"Name","Cuisine","Area","Rating","Price","Reviews","Open","Veg","Phone","Timing","Delivery","Discount","Known For"
"Arbor Brewing Company","Pub, Burgers","Indiranagar","4.2","1500","1900","true","false","080-25219750","12:00 PM – 11:45 PM","","","Munich Gold, Nachos"
"BBQ Nation","North Indian, BBQ","Whitefield","4.1","1600","6300","true","false","1800-209-9007","12:00 PM – 11:00 PM","","Weekend specials","Live Grill, Tandoor"
"Brahmin's Coffee Bar","South Indian","Basavanagudi","4.6","150","1800","false","true","080-26768022","7:30 AM – 1:00 PM, 4:00 PM – 8:00 PM","","","Idli-Vada, Filter Coffee"
"Corner House Ice Cream","Desserts, Ice Cream","Defence Colony","4.5","300","4200","true","true","080-25580834","11:00 AM – 11:30 PM","25","","Death by Chocolate, Banana Split"
"CTR – Central Tiffin Room","South Indian","Malleswaram","4.5","200","2200","true","true","080-23460763","8:00 AM – 1:30 PM","","","Benne Masala Dosa"
"Empire Restaurant","North Indian, Biryani","Brigade Road","3.9","500","7100","true","false","080-22112672","10:00 AM – 2:00 AM","35","","Chicken Biryani, Chicken 65"
"High Ultra Lounge","Lounge, Continental","Barton Centre","4","2000","700","true","false","080-41238888","7:00 PM – 1:00 AM","","","Cocktails, Live Music"
"Hole in the Wall Cafe","Cafe, Continental","Vittal Mallya Rd","4.1","800","1300","true","false","080-41200888","10:00 AM – 10:00 PM","40","10% off","Eggs Benedict, Avocado Toast"
"Karavalli","Coastal, Seafood","Taj Gateway","4.7","2500","1200","true","false","080-66604545","12:30 PM – 3:00 PM, 7:30 PM – 11:30 PM","","","Karimeen Pollichathu, Appam"
"Koshy's","Continental, Bakery","St. Mark's Road","4.2","700","1500","true","false","080-22213793","9:00 AM – 11:00 PM","40","","Club Sandwich, Prawn Curry"
"Mavalli Tiffin Rooms","South Indian","Lalbagh Road","4.5","250","4500","false","true","080-22220022","6:30 AM – 11:00 AM, 3:30 PM – 7:30 PM","","","Set Dosa, Filter Coffee"
"Meghana Foods","Andhra, Biryani","Koramangala","4.5","400","2100","true","false","080-41500527","11:00 AM – 11:00 PM","30","20% off","Nati Kodi Pulao, Boneless Biryani"
"Nagarjuna","Andhra, South Indian","Residency Road","4.2","500","5800","true","false","080-22212690","12:00 PM – 4:00 PM, 7:00 PM – 11:00 PM","35","","Natu Kodi Fry, Pappu"
"Natural Ice Cream","Desserts, Ice Cream","Koramangala","4.4","250","3600","true","true","080-25633355","11:00 AM – 11:00 PM","20","","Sitaphal Ice Cream, Tender Coconut"
"Onesta","Pizza, Italian","JP Nagar","4.3","700","3800","true","false","080-26649960","11:30 AM – 11:00 PM","40","20% off","Cheese Burst Pizza"
"Punjabi By Nature","North Indian, Mughlai","UB City","4.2","1800","900","true","false","080-41454545","12:30 PM – 3:30 PM, 7:30 PM – 11:30 PM","","","Dal Makhani, Butter Naan"
"Savoury Sea Shell","Seafood, Coastal","Ulsoor","4.1","900","1100","true","false","080-25584888","12:00 PM – 11:30 PM","50","","Lobster Masala, Prawn Ghee Roast"
"Shivaji Military Hotel","South Indian, Non-veg","Jayanagar","4.4","300","2800","true","false","080-26562299","8:00 AM – 10:30 PM","30","","Mutton Chops, Neer Dosa"
"Smoke House Deli","Continental, Cafe","MG Road","4.2","1200","2000","false","false","080-49107770","12:00 PM – 11:00 PM","45","Happy Hours","Smoked Salmon, Pasta"
"The Fatty Bao","Asian, Japanese","Indiranagar","4.3","1400","2600","true","false","080-41700060","12:00 PM – 11:00 PM","50","10% off","Steamed Bao, Ramen"
"The Only Place","Continental, Steaks","Museum Road","4.3","2200","1600","true","false","080-25585396","12:30 PM – 3:00 PM, 7:00 PM – 11:00 PM","","","Tenderloin Steak, Pepper Sauce"
"Toit Brewpub","Pub, Craft Beer","Indiranagar","4.4","1200","5100","true","false","080-25274020","12:00 PM – 12:00 AM","60","","Tintin's Stout, Fish & Chips"
"Truffles","American, Burgers","Koramangala","4.4","600","3400","true","false","080-41153370","12:00 PM – 11:30 PM","45","15% off","Beast Burger, Truffle Fries"
"Vidyarthi Bhavan","South Indian","Gandhi Bazaar","4.6","200","3000","false","true","080-26677588","6:30 AM – 11:30 AM, 2:00 PM – 8:30 PM","","","Masala Dosa, Kesari Bath"